CustomerId,FirstName,LastName,Company,City,State,Country
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,São José dos Campos,SP,Brazil
2,Leonie,Köhler,,Stuttgart,,Germany
3,François,Tremblay,,Montréal,QC,Canada
4,Bjørn,Hansen,,Oslo,,Norway
5,František,Wichterlová,JetBrains s.r.o.,Prague,,Czech Republic
6,Helena,Holý,,Prague,,Czech Republic
7,Astrid,Gruber,,Vienne,,Austria
8,Daan,Peeters,,Brussels,,Belgium
9,Kara,Nielsen,,Copenhagen,,Denmark
10,Eduardo,Martins,Woodstock Discos,São Paulo,SP,Brazil
11,Alexandre,Rocha,Banco do Brasil S.A.,São Paulo,SP,Brazil
12,Roberto,Almeida,Riotur,Rio de Janeiro,RJ,Brazil
13,Fernanda,Ramos,,Brasília,DF,Brazil
14,Mark,Philips,Telus,Edmonton,AB,Canada
15,Jennifer,Peterson,Rogers Canada,Vancouver,BC,Canada
16,Frank,Harris,Google Inc.,Mountain View,CA,USA
17,Jack,Smith,Microsoft Corporation,Redmond,WA,USA
18,Michelle,Brooks,,New York,NY,USA
19,Tim,Goyer,Apple Inc.,Cupertino,CA,USA
20,Dan,Miller,,Mountain View,CA,USA
21,Kathy,Chase,,Reno,NV,USA
22,Heather,Leacock,,Orlando,FL,USA
23,John,Gordon,,Boston,MA,USA
24,Frank,Ralston,,Chicago,IL,USA
25,Victor,Stevens,,Madison,WI,USA
26,Richard,Cunningham,,Fort Worth,TX,USA
27,Patrick,Gray,,Tucson,AZ,USA
28,Julia,Barnett,,Salt Lake City,UT,USA
29,Robert,Brown,,Toronto,ON,Canada
30,Edward,Francis,,Ottawa,ON,Canada
31,Martha,Silk,,Halifax,NS,Canada
32,Aaron,Mitchell,,Winnipeg,MB,Canada
33,Ellie,Sullivan,,Yellowknife,NT,Canada
34,João,Fernandes,,Lisbon,,Portugal
35,Madalena,Sampaio,,Porto,,Portugal
36,Hannah,Schneider,,Berlin,,Germany
37,Fynn,Zimmermann,,Frankfurt,,Germany
38,Niklas,Schröder,,Berlin,,Germany
39,Camille,Bernard,,Paris,,France
40,Dominique,Lefebvre,,Paris,,France
41,Marc,Dubois,,Lyon,,France
42,Wyatt,Girard,,Bordeaux,,France
43,Isabelle,Mercier,,Dijon,,France
44,Terhi,Hämäläinen,,Helsinki,,Finland
45,Ladislav,Kovács,,Budapest,,Hungary
46,Hugh,O'Reilly,,Dublin,Dublin,Ireland
47,Lucas,Mancini,,Rome,RM,Italy
48,Johannes,Van der Berg,,Amsterdam,VV,Netherlands
49,Stanisław,Wójcik,,Warsaw,,Poland
50,Enrique,Muñoz,,Madrid,,Spain
51,Joakim,Johansson,,Stockholm,,Sweden
52,Emma,Jones,,London,,United Kingdom
53,Phil,Hughes,,London,,United Kingdom
54,Steve,Murray,,Edinburgh ,,United Kingdom
55,Mark,Taylor,,Sidney,NSW,Australia
56,Diego,Gutiérrez,,Buenos Aires,,Argentina
57,Luis,Rojas,,Santiago,,Chile
58,Manoj,Pareek,,Delhi,,India
59,Puja,Srivastava,,Bangalore,,India
